,Unnamed: 0,file_name,ICM,state,TE,ZP
70,2,Blast_PCRM_R12-0173a.BMP,A,0,B,3
71,33,Blast_PCRM_R12-0463b.BMP,A,0,B,2
72,114,Blast_PCRM_R14-0090.BMP,B,0,B,3
73,34,Blast_PCRM_R12-0464b.BMP,B,0,A,2
74,17,Blast_PCRM_R12-0306b.BMP,A,0,A,2
75,86,Blast_PCRM_R13-0236b.BMP,A,0,A,4
76,87,Blast_PCRM_R13-0237b.BMP,A,0,B,3
77,177,Blast_PCRM_R16-0115b.BMP,A,0,A,4
78,106,Blast_PCRM_R13-0524.BMP,A,0,B,3
79,49,Blast_PCRM_R13-0022.BMP,B,0,B,2
80,101,Blast_PCRM_R13-0410b.BMP,C,0,B,2
81,97,Blast_PCRM_R13-0383b.BMP,A,0,A,2
82,208,Blast_PCRM_R16-0342A.BMP,A,0,B,3
83,55,Blast_PCRM_R13-0052A.BMP,B,0,B,2
84,241,Blast_PCRM_d5.13.BMP,A,0,B,2
85,164,Blast_PCRM_R16-0023a.BMP,A,0,A,4
86,171,Blast_PCRM_R16-0091b.BMP,B,0,B,2
87,73,Blast_PCRM_R13-0129b.BMP,A,0,B,3
88,163,Blast_PCRM_R14-0423a.BMP,A,0,A,4
89,13,Blast_PCRM_R12-0268b.BMP,A,0,A,3
90,58,Blast_PCRM_R13-0058B.BMP,A,0,A,3
91,51,Blast_PCRM_R13-0027.BMP,A,0,A,3
92,189,Blast_PCRM_R16-0204A.BMP,A,0,A,3
93,99,Blast_PCRM_R13-0393.BMP,B,0,B,4
94,69,Blast_PCRM_R13-0083.BMP,A,0,A,4
95,201,Blast_PCRM_R16-0276A.BMP,A,0,A,3
96,213,Blast_PCRM_R16-0404B.BMP,A,0,A,4
97,214,Blast_PCRM_R16-0405B.BMP,B,0,A,3
98,202,Blast_PCRM_R16-0294A.BMP,A,0,A,3
99,196,Blast_PCRM_R16-0253A.BMP,A,0,A,3
100,74,Blast_PCRM_R13-0131.BMP,A,0,A,3
101,94,Blast_PCRM_R13-0348.BMP,A,0,A,3
102,130,Blast_PCRM_R14-0302.BMP,B,0,B,2
103,131,Blast_PCRM_R14-0323.BMP,A,0,A,4
104,205,Blast_PCRM_R16-0326B.BMP,A,0,A,3
105,118,Blast_PCRM_R14-0118.BMP,A,0,B,3
106,204,Blast_PCRM_R16-0325B.BMP,A,0,B,2
107,149,Blast_PCRM_R14-0370a.BMP,B,0,A,4
108,170,Blast_PCRM_R16-0090a.BMP,B,0,B,3
109,180,Blast_PCRM_R16-0138b.BMP,B,0,A,4
110,102,Blast_PCRM_R13-0447a.BMP,A,0,C,2
111,12,Blast_PCRM_R12-0268a.BMP,A,0,B,3
112,221,Blast_PCRM_2 x 2AB d5 left.BMP,A,0,B,2
113,248,Blast_PCRM_d5.29.BMP,B,0,B,2
114,218,Blast_PCRM_R16-0448A.BMP,A,0,A,3
115,10,Blast_PCRM_R12-0259.BMP,A,0,A,3
116,230,Blast_PCRM_1202695 D5.BMP,B,0,B,2
117,5,Blast_PCRM_R12-0221b.BMP,A,0,A,3
118,157,Blast_PCRM_R14-0402b.BMP,B,0,B,3
119,36,Blast_PCRM_R12-0499b.BMP,A,0,A,3
120,95,Blast_PCRM_R13-0351.BMP,A,0,A,3
121,132,Blast_PCRM_R14-0324a.BMP,A,0,A,3
122,225,Blast_PCRM_1202043 D5.BMP,B,0,A,2
123,77,Blast_PCRM_R13-0145.BMP,A,0,B,4
124,70,Blast_PCRM_R13-0090.BMP,A,0,A,3
125,119,Blast_PCRM_R14-0121.BMP,A,0,A,4
126,195,Blast_PCRM_R16-0247B.BMP,A,0,A,2
127,47,Blast_PCRM_R13-0018a.BMP,B,0,A,3
128,26,Blast_PCRM_R12-0348a.BMP,A,0,A,4
129,229,Blast_PCRM_1202591 D5.BMP,A,0,B,3
130,81,Blast_PCRM_R13-0218a.BMP,A,0,B,2
131,168,Blast_PCRM_R16-0071b.BMP,B,0,A,4
132,60,Blast_PCRM_R13-0065B.BMP,A,0,B,2
133,112,Blast_PCRM_R14-0070.BMP,A,0,B,2
134,85,Blast_PCRM_R13-0236a.BMP,A,0,A,4
135,167,Blast_PCRM_R16-0048a.BMP,A,0,A,3
136,215,Blast_PCRM_R16-0415A.BMP,A,0,A,2
137,224,Blast_PCRM_1202041 D5.BMP,B,0,B,2
138,14,Blast_PCRM_R12-0293a.BMP,B,0,B,2
139,199,Blast_PCRM_R16-0270A.BMP,A,0,A,3
140,116,Blast_PCRM_R14-0114.BMP,A,0,B,2
141,198,Blast_PCRM_R16-0265B.BMP,A,0,B,4
142,72,Blast_PCRM_R13-0127.BMP,A,0,A,4
143,187,Blast_PCRM_R16-0199A.BMP,A,0,A,3
144,20,Blast_PCRM_R12-0316b.BMP,A,0,A,4
145,159,Blast_PCRM_R14-0405b.BMP,A,0,A,2
146,7,Blast_PCRM_R12-0223b.BMP,A,0,B,3
147,57,Blast_PCRM_R13-0057A.BMP,B,0,A,3
148,23,Blast_PCRM_R12-0338a.BMP,B,0,A,2
149,193,Blast_PCRM_R16-0244A.BMP,B,0,C,3
150,220,Blast_PCRM_T16-0326B.BMP,A,0,B,3
151,88,Blast_PCRM_R13-0261.BMP,A,0,A,2
152,64,Blast_PCRM_R13-0077B.BMP,B,0,A,2
153,158,Blast_PCRM_R14-0404a.BMP,B,0,A,3
154,244,Blast_PCRM_d5.17.BMP,B,0,C,2
155,107,Blast_PCRM_R13-0564.BMP,A,0,A,4
156,127,Blast_PCRM_R14-0273.BMP,B,0,A,2
157,181,Blast_PCRM_R16-0148a.BMP,A,0,A,2
158,11,Blast_PCRM_R12-0266.BMP,A,0,A,4
159,212,Blast_PCRM_R16-0398A.BMP,B,0,A,3
160,40,Blast_PCRM_R13-0005.BMP,B,0,B,2
161,50,Blast_PCRM_R13-0026.BMP,A,0,A,4
162,156,Blast_PCRM_R14-0396c.BMP,C,0,C,4
163,48,Blast_PCRM_R13-0019.BMP,B,0,B,3
164,188,Blast_PCRM_R16-0200A.BMP,A,0,A,3
165,68,Blast_PCRM_R13-0081B.BMP,B,0,A,3
166,169,Blast_PCRM_R16-0075a.BMP,B,0,B,2
167,146,Blast_PCRM_R14-0364a.BMP,B,0,B,4
168,111,Blast_PCRM_R14-0069a.BMP,A,0,A,3
169,231,Blast_PCRM_1202832 D6.BMP,B,0,B,3
170,135,Blast_PCRM_R14-0327a.BMP,B,0,C,2
171,30,Blast_PCRM_R12-0397a.BMP,B,0,B,4
172,166,Blast_PCRM_R16-0037a.BMP,B,0,A,2
173,66,Blast_PCRM_R13-0079B.BMP,A,0,A,3
174,62,Blast_PCRM_R13-0074B.BMP,A,0,A,2
175,178,Blast_PCRM_R16-0133a.BMP,B,0,C,4
176,98,Blast_PCRM_R13-0385b.BMP,B,0,B,3
177,126,Blast_PCRM_R14-0239.BMP,A,0,A,4
178,91,Blast_PCRM_R13-0312.BMP,A,0,B,3
179,161,Blast_PCRM_R14-0411a.BMP,B,0,A,4
180,65,Blast_PCRM_R13-0079A.BMP,B,0,A,3
181,19,Blast_PCRM_R12-0316a.BMP,A,0,A,3
182,137,Blast_PCRM_R14-0328b.BMP,B,0,A,3
183,38,Blast_PCRM_R12-0508b.BMP,B,0,A,4
184,175,Blast_PCRM_R16-0108a.BMP,B,0,B,3
185,148,Blast_PCRM_R14-0369a.BMP,A,0,A,2
186,223,Blast_PCRM_1201754 D5.BMP,B,0,B,2
187,142,Blast_PCRM_R14-0353a.BMP,A,0,A,4
188,243,Blast_PCRM_d5.16.BMP,A,0,A,3
189,174,Blast_PCRM_R16-0106b.BMP,A,0,A,3
190,134,Blast_PCRM_R14-0326b.BMP,B,0,B,3
191,153,Blast_PCRM_R14-0388a.BMP,A,0,A,3
192,46,Blast_PCRM_R13-0014A.BMP,A,0,B,2
193,54,Blast_PCRM_R13-0051A.BMP,A,0,A,3
194,108,Blast_PCRM_R14-0033.BMP,A,0,B,2
195,238,Blast_PCRM_d5.3.BMP,A,0,B,3
196,104,Blast_PCRM_R13-0494a.BMP,B,0,B,3
197,150,Blast_PCRM_R14-0374a.BMP,A,0,B,4
198,197,Blast_PCRM_R16-0255A.BMP,A,0,A,3
199,32,Blast_PCRM_R12-0463a.BMP,A,0,B,2
200,53,Blast_PCRM_R13-0044.BMP,B,0,B,3
201,240,Blast_PCRM_d5.12.BMP,B,0,A,3
202,234,Blast_PCRM_1202835 D6.BMP,B,0,B,3
203,162,Blast_PCRM_R14-0414b.BMP,B,0,A,4
204,22,Blast_PCRM_R12-0335.BMP,A,0,A,3
205,84,Blast_PCRM_R13-0235b.BMP,A,0,B,2
206,76,Blast_PCRM_R13-0140b.BMP,A,0,B,3
207,183,Blast_PCRM_R16-0173a.BMP,A,0,A,4
208,93,Blast_PCRM_R13-0325.BMP,A,0,B,2
209,15,Blast_PCRM_R12-0296.BMP,A,0,C,4
210,176,Blast_PCRM_R16-0109b.BMP,B,0,A,3
211,1,Blast_PCRM_R12-0160.BMP,A,1,A,4
212,8,Blast_PCRM_R12-0236.BMP,B,1,B,3
213,217,Blast_PCRM_R16-0437B.BMP,A,1,B,4
214,190,Blast_PCRM_R16-0228A.BMP,A,1,A,4
215,154,Blast_PCRM_R14-0392a.BMP,B,1,C,2
216,247,Blast_PCRM_d5.26.BMP,B,1,A,4
217,100,Blast_PCRM_R13-0410a.BMP,B,1,B,2
218,228,Blast_PCRM_1202184 D5.BMP,A,1,B,3
219,207,Blast_PCRM_R16-0336A.BMP,B,1,B,3
220,31,Blast_PCRM_R12-0397b.BMP,B,1,B,2
221,25,Blast_PCRM_R12-0347a.BMP,A,1,A,3
222,219,Blast_PCRM_T16-0325B.BMP,A,1,A,4
223,105,Blast_PCRM_R13-0507a.BMP,A,1,A,3
224,16,Blast_PCRM_R12-0306a.BMP,A,1,A,3
225,122,Blast_PCRM_R14-0180.BMP,A,1,A,3
226,151,Blast_PCRM_R14-0374b.BMP,A,1,A,4
227,182,Blast_PCRM_R16-0157a.BMP,A,1,C,4
228,75,Blast_PCRM_R13-0140a.BMP,A,1,A,3
229,232,Blast_PCRM_1202833 D5.BMP,B,1,B,3
230,71,Blast_PCRM_R13-0097.BMP,A,1,A,3
231,82,Blast_PCRM_R13-0232.BMP,A,1,A,4
232,52,Blast_PCRM_R13-0036B.BMP,A,1,B,2
233,24,Blast_PCRM_R12-0338b.BMP,A,1,B,2
234,128,Blast_PCRM_R14-0294.BMP,A,1,A,3
235,103,Blast_PCRM_R13-0459.BMP,B,1,B,2
236,191,Blast_PCRM_R16-0228B.BMP,A,1,A,3
237,239,Blast_PCRM_d5.4.BMP,B,1,C,4
238,246,Blast_PCRM_d5.24.BMP,A,1,A,4
239,109,Blast_PCRM_R14-0044.BMP,B,1,A,2
240,121,Blast_PCRM_R14-0175.BMP,A,1,A,4
241,141,Blast_PCRM_R14-0351.BMP,A,1,A,3
242,237,Blast_PCRM_d5.2 right.BMP,A,1,B,2
243,21,Blast_PCRM_R12-0326b.BMP,B,1,A,3
244,145,Blast_PCRM_R14-0362b.BMP,A,1,A,3
245,236,Blast_PCRM_d5.2 left.BMP,B,1,B,2
246,96,Blast_PCRM_R13-0383a.BMP,A,1,A,3
247,172,Blast_PCRM_R16-0099a.BMP,A,1,A,4
248,144,Blast_PCRM_R14-0362a.BMP,A,1,A,3
